# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_88e3f0f3fa5e5647affcf41a26194a08_model
# start_datetime = 2026-03-27 20:05:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/standata-ee3e16201c3c.json
# init = 2 (Default)
# random
#   seed = 121389
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/model_88e3f0f3fa5e5647affcf41a26194a08-202603271505-3-81be3e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/model_88e3f0f3fa5e5647affcf41a26194a08-profile-202603271505-3-1412eb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_88e3f0f3fa5e5647affcf41a26194a08_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,Vc.5,Vc.6,Vc.7,Vc.8,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l16_0,l17_0,l18_0,l19_0,l20_0,l21_0,l1_11,l2_13,l3_12,l4_11,l4_12,l5_11,l5_13,l6_12,l7_12,l8_11,l8_13,l9_13,l10_11,l10_13,l11_11,l11_12,l12_12,l12_13,l13_13,l14_11,l14_13,l15_11,l15_12,l16_12,l17_11,l18_11,l18_12,l19_11,l20_11,l20_13,l21_13,l4_212,l5_213,l8_213,l10_213,l11_212,l12_223,l14_213,l15_212,l18_212,l20_213,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,log_Vc.5,log_Vc.6,log_Vc.7,log_Vc.8,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.16.1,pi.17.1,pi.18.1,pi.19.1,pi.20.1,pi.21.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.16.2,pi.17.2,pi.18.2,pi.19.2,pi.20.2,pi.21.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.16.3,pi.17.3,pi.18.3,pi.19.3,pi.20.3,pi.21.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4,pi.16.4,pi.17.4,pi.18.4,pi.19.4,pi.20.4,pi.21.4,pi.1.5,pi.2.5,pi.3.5,pi.4.5,pi.5.5,pi.6.5,pi.7.5,pi.8.5,pi.9.5,pi.10.5,pi.11.5,pi.12.5,pi.13.5,pi.14.5,pi.15.5,pi.16.5,pi.17.5,pi.18.5,pi.19.5,pi.20.5,pi.21.5,pi.1.6,pi.2.6,pi.3.6,pi.4.6,pi.5.6,pi.6.6,pi.7.6,pi.8.6,pi.9.6,pi.10.6,pi.11.6,pi.12.6,pi.13.6,pi.14.6,pi.15.6,pi.16.6,pi.17.6,pi.18.6,pi.19.6,pi.20.6,pi.21.6,pi.1.7,pi.2.7,pi.3.7,pi.4.7,pi.5.7,pi.6.7,pi.7.7,pi.8.7,pi.9.7,pi.10.7,pi.11.7,pi.12.7,pi.13.7,pi.14.7,pi.15.7,pi.16.7,pi.17.7,pi.18.7,pi.19.7,pi.20.7,pi.21.7,pi.1.8,pi.2.8,pi.3.8,pi.4.8,pi.5.8,pi.6.8,pi.7.8,pi.8.8,pi.9.8,pi.10.8,pi.11.8,pi.12.8,pi.13.8,pi.14.8,pi.15.8,pi.16.8,pi.17.8,pi.18.8,pi.19.8,pi.20.8,pi.21.8
# Adaptation terminated
# Step size = 0.065911
# Diagonal elements of inverse mass matrix:
# 0.027629, 0.0469565, 0.0319642, 0.0276287, 0.0349768, 0.0304128, 0.0297875, 0.0721119, 0.0980517, 0.0171254, 0.0835417, 0.0219692, 0.0308952, 0.0851887, 0.0429036, 0.0292934, 0.106096, 0.0568899, 0.0344723, 0.0209147, 0.0444909, 0.0224143, 0.0215802, 0.0594927, 0.0382271, 0.0254523, 0.172608, 0.041114, 0.00655382, 0.0106869, 0.064937, 0.0514652, 0.0939068, 0.0336037, 0.316073, 0.0148954, 0.0152025, 0.215079, 0.318216, 0.019292, 0.043143, 0.144396, 0.0371606, 0.140037, 0.0542508, 0.35462, 0.064597, 0.0328402, 0.207445, 0.287247, 0.207375, 0.0580059, 0.0072271, 0.234925, 0.148301, 0.00616754, 0.0339859, 0.0311592, 0.0128123, 0.0845811, 0.114509, 0.0405099, 0.0406744, 0.0530515, 0.512178, 0.258613, 0.313792, 0.0438888, 0.511759
-6601.6168,0.9516379,0.065911004,6,63,0,6634.5589,0.14870204,0.15023692,0.067219669,0.13420995,0.12208053,0.12176577,0.135252,0.12053313,-2.2805794,-2.5223394,-0.32755855,-2.002947,-0.8645716,-1.1956229,-1.6809525,-1.3164641,-0.8991647,-2.2773064,-0.98977772,-1.1033319,-0.29849637,-1.3622283,-0.51228093,-0.21060447,-2.0722796,-0.46386083,-1.5080536,-1.8825879,-1.407513,4.3395757,3.7304168,0.61548731,1.8478241,1.3999401,1.2396056,0.42455851,2.2496341,3.6795524,1.0806612,0.30046244,1.9136384,2.34556,1.4752875,1.3292841,0.42065549,1.5977094,0.14190366,1.3314046,1.8822117,0.74793918,0.63281162,1.2468352,0.93664796,4.4550945,0.28199359,0.62788711,3.0697669,1.7455216,2.2866968,3.3290743,-0.25600719,0.33798507,0.95948091,-0.35505434,1.5400803,0.80773896,0.72744199,-0.37352358,1.6396192,-1.2551592,-1.9058107,-1.8955418,-2.6997894,-2.0083499,-2.1030744,-2.105656,-2.0006156,-2.1158307,0.092744187,0.074306871,0.41883478,0.11889385,0.29638509,0.2322548,0.15696938,0.21140718,0.28922218,0.093019957,0.27095598,0.24911611,0.4259251,0.20387838,0.37465897,0.44754263,0.11182044,0.38607033,0.18122743,0.1320919,0.19662661,0.88685349,0.074306871,0.41883478,0.46129685,0.5926748,0.2322548,0.15696938,0.44132091,0.28922218,0.51705678,0.58407061,0.24911611,0.4259251,0.62714389,0.53009625,0.44754263,0.91550743,0.4546581,0.82659906,0.46578698,0.19662661,0.092744187,0.074306871,0.57148898,0.35365607,0.29638509,0.74154442,0.88065,0.21140718,0.28922218,0.093019957,0.36143939,0.62113712,0.4259251,0.20387838,0.67580389,0.67393644,0.11182044,0.54091488,0.18122743,0.1320919,0.19662661,0.092744187,0.76995859,0.41883478,0.11889385,0.39173785,0.2322548,0.15696938,0.26580696,0.73389475,0.30959382,0.27095598,0.27659232,0.73747933,0.35108141,0.37465897,0.44754263,0.11182044,0.38607033,0.18122743,0.59967447,0.87231244,0.88685349,0.074306871,0.57148898,0.72885282,0.5926748,0.74154442,0.88065,0.44132091,0.28922218,0.51705678,0.90889709,0.62113712,0.4259251,0.62714389,0.72984619,0.67393644,0.91550743,0.88949951,0.82659906,0.46578698,0.19662661,0.88685349,0.76995859,0.41883478,0.46129685,0.7572346,0.2322548,0.15696938,0.73577832,0.73389475,0.76647031,0.58407061,0.27659232,0.73747933,0.88030953,0.53009625,0.44754263,0.91550743,0.4546581,0.82659906,0.70981204,0.87231244,0.092744187,0.76995859,0.57148898,0.35365607,0.39173785,0.74154442,0.88065,0.26580696,0.73389475,0.30959382,0.36143939,0.80907642,0.73747933,0.35108141,0.67580389,0.67393644,0.11182044,0.54091488,0.18122743,0.59967447,0.87231244,0.88685349,0.76995859,0.57148898,0.72885282,0.7572346,0.74154442,0.88065,0.73577832,0.73389475,0.76647031,0.90889709,0.80907642,0.73747933,0.88030953,0.72984619,0.67393644,0.91550743,0.88949951,0.82659906,0.70981204,0.87231244
-6592.3604,0.99310788,0.065911004,6,63,0,6628.933,0.15815135,0.1110571,0.060612128,0.098249497,0.13676583,0.12667935,0.14719905,0.1612857,-2.2180551,-2.3559704,-0.21887209,-1.9488104,-0.67399536,-1.1002469,-1.7403687,-1.149326,-0.77395773,-1.9048929,-1.0800193,-0.91560524,-0.14468456,-0.93074823,-0.71361537,-0.51137062,-2.4207944,-0.90421781,-1.369517,-1.7671019,-0.93560721,3.8613542,3.6424192,1.1603506,1.6169147,1.3827197,1.5573715,0.33356675,2.5643992,3.5625894,0.43721421,0.30149935,1.6901449,1.9497157,1.0930284,1.8052942,0.98376705,1.3943394,0.094293051,0.80609344,1.9011609,0.90149749,1.107238,1.0343882,0.86157989,4.2711247,0.26140481,0.64468949,2.4939582,1.9426458,1.8014923,3.151514,-0.085055111,1.1805036,1.6230233,0.14371586,1.3241436,0.12186608,-0.26594115,-0.55104427,2.2313262,-0.90146742,-1.8442028,-2.1977108,-2.8032603,-2.3202451,-1.9894851,-2.0660962,-1.9159695,-1.824578,0.098140807,0.086592382,0.44549938,0.12468313,0.33760279,0.24969363,0.1492661,0.24061221,0.31562359,0.1295557,0.25350237,0.2858542,0.46389183,0.28277294,0.32880047,0.37487227,0.081600701,0.28818451,0.20269789,0.1459031,0.28178852,0.83798334,0.086592382,0.44549938,0.41777944,0.70752135,0.24969363,0.1492661,0.32913237,0.31562359,0.51120384,0.67376753,0.2858542,0.46389183,0.72520175,0.59715447,0.37487227,0.86416588,0.34461093,0.75481158,0.54377361,0.28178852,0.098140807,0.086592382,0.7193982,0.36213937,0.33760279,0.81216694,0.86083238,0.24061221,0.31562359,0.1295557,0.4759555,0.61744893,0.46389183,0.28277294,0.57951259,0.58666832,0.081600701,0.43547966,0.20269789,0.1459031,0.28178852,0.098140807,0.7835455,0.44549938,0.12468313,0.41570536,0.24969363,0.1492661,0.29988896,0.71426459,0.30749334,0.25350237,0.30548519,0.6595768,0.49268784,0.32880047,0.37487227,0.081600701,0.28818451,0.20269789,0.50859675,0.90166888,0.83798334,0.086592382,0.7193982,0.72427534,0.70752135,0.81216694,0.86083238,0.32913237,0.31562359,0.51120384,0.95405102,0.61744893,0.46389183,0.72520175,0.70619323,0.58666832,0.86416588,0.90319176,0.75481158,0.54377361,0.28178852,0.83798334,0.7835455,0.44549938,0.41777944,0.91663238,0.24969363,0.1492661,0.77072524,0.71426459,0.78271642,0.67376753,0.30548519,0.6595768,0.83285099,0.59715447,0.37487227,0.86416588,0.34461093,0.75481158,0.74565449,0.90166888,0.098140807,0.7835455,0.7193982,0.36213937,0.41570536,0.81216694,0.86083238,0.29988896,0.71426459,0.30749334,0.4759555,0.66705459,0.6595768,0.49268784,0.57951259,0.58666832,0.081600701,0.43547966,0.20269789,0.50859675,0.90166888,0.83798334,0.7835455,0.7193982,0.72427534,0.91663238,0.81216694,0.86083238,0.77072524,0.71426459,0.78271642,0.95405102,0.66705459,0.6595768,0.83285099,0.70619323,0.58666832,0.86416588,0.90319176,0.75481158,0.74565449,0.90166888
-6602.3034,0.99491088,0.065911004,6,63,0,6637.4043,0.14651671,0.1110421,0.11810277,0.1178616,0.11124965,0.11628383,0.14360048,0.13534286,-1.9553103,-2.5818616,-0.31190589,-1.8072563,-0.68103392,-1.4376482,-2.3838734,-1.6104569,-0.68104077,-1.5652053,-0.7352713,-1.0361293,-0.10327606,-0.68721368,-0.22762502,-0.61787672,-1.8050371,-0.77469941,-1.7172349,-2.2797334,-1.2416829,4.0695518,3.7657744,0.67570138,1.9257358,0.95977259,1.2334536,0.32724544,2.7595946,4.167703,1.1432787,1.2562417,1.2870465,1.5686632,0.66624849,1.2748759,0.54997395,1.5166321,0.17610843,1.0869403,1.8451994,0.19086646,0.40322021,0.84406986,0.90018927,4.1444524,0.59510513,0.77530703,3.2588901,2.6051361,2.5661096,3.1064007,-0.37553434,0.90072587,-0.10844328,0.39620156,1.5030712,-0.10075842,0.24357275,0.099880558,1.288293,-2.2020272,-1.9206158,-2.1978459,-2.1362001,-2.1382442,-2.1959785,-2.1517212,-1.9407202,-1.9999441,0.12397548,0.070314938,0.4226496,0.14097006,0.33603058,0.19190981,0.084410728,0.16652518,0.33602905,0.17290099,0.32403904,0.26189754,0.47420391,0.33465319,0.44333819,0.35026451,0.14123901,0.31546341,0.15222767,0.092815396,0.22414319,0.89227969,0.070314938,0.4226496,0.52958528,0.6346968,0.19190981,0.084410728,0.38528434,0.33602905,0.50086447,0.63172043,0.26189754,0.47420391,0.76096653,0.54378635,0.35026451,0.91208922,0.45522172,0.82370522,0.58064036,0.22414319,0.12397548,0.070314938,0.5899589,0.29996098,0.33603058,0.78950536,0.8561691,0.16652518,0.33602905,0.17290099,0.45380775,0.61786659,0.47420391,0.33465319,0.64940955,0.57011309,0.14123901,0.5001519,0.15222767,0.092815396,0.22414319,0.12397548,0.7656506,0.4226496,0.14097006,0.41246403,0.19190981,0.084410728,0.41236062,0.64702912,0.28926492,0.32403904,0.29733499,0.72783468,0.37839947,0.44333819,0.35026451,0.14123901,0.31546341,0.15222767,0.57110873,0.86584591,0.89227969,0.070314938,0.5899589,0.66879006,0.6346968,0.78950536,0.8561691,0.38528434,0.33602905,0.50086447,0.93038703,0.61786659,0.47420391,0.76096653,0.75390442,0.57011309,0.91208922,0.86807056,0.82370522,0.58064036,0.22414319,0.89227969,0.7656506,0.4226496,0.52958528,0.85574514,0.19190981,0.084410728,0.66387712,0.64702912,0.74381794,0.63172043,0.29733499,0.72783468,0.83095701,0.54378635,0.35026451,0.91208922,0.45522172,0.82370522,0.66585237,0.86584591,0.12397548,0.7656506,0.5899589,0.29996098,0.41246403,0.78950536,0.8561691,0.41236062,0.64702912,0.28926492,0.45380775,0.63549241,0.72783468,0.37839947,0.64940955,0.57011309,0.14123901,0.5001519,0.15222767,0.57110873,0.86584591,0.89227969,0.7656506,0.5899589,0.66879006,0.85574514,0.78950536,0.8561691,0.66387712,0.64702912,0.74381794,0.93038703,0.63549241,0.72783468,0.83095701,0.75390442,0.57011309,0.91208922,0.86807056,0.82370522,0.66585237,0.86584591
-6595.0996,0.75060002,0.065911004,7,127,0,6642.7052,0.15473091,0.15395893,0.081594308,0.15636509,0.09188377,0.12076594,0.092192615,0.14850844,-2.1483806,-1.9335327,-0.3766998,-2.3568591,-0.6448242,-0.61687898,-1.5428035,-1.3855628,-0.58758393,-1.6784581,-1.1126821,-0.75826567,-0.24997045,-1.1691464,-0.34106607,-0.38888027,-1.9441184,-0.85446066,-1.5824487,-2.4521993,-1.350396,4.2920358,3.1911795,0.8147013,2.3902596,2.217939,1.0717239,0.23160681,1.8977536,5.7282535,0.63729889,0.30873666,1.6154691,2.0554925,0.89510435,1.8527426,1.0560367,0.88740524,0.35438263,0.90513595,2.3166324,0.98678127,0.56058235,0.91591799,0.90246181,3.9604696,0.81834551,0.99333423,3.0714302,2.8494231,3.0776498,3.9458853,-1.3389237,1.7858799,1.4300513,0.21835872,0.68780086,1.0191118,-0.80997871,0.38357992,1.4698366,-2.5806463,-1.8660677,-1.8710694,-2.5059958,-1.8555617,-2.3872309,-2.113901,-2.3838752,-1.9071135,0.10448264,0.12636008,0.40692311,0.086522118,0.34415684,0.35049161,0.17612809,0.20011708,0.35718941,0.15729975,0.24737121,0.31902293,0.43783077,0.23700931,0.41555054,0.40398688,0.12519611,0.29849797,0.17044896,0.079277869,0.20580563,0.89507439,0.12636008,0.40692311,0.50834935,0.6051331,0.35049161,0.17612809,0.32119971,0.35718941,0.59315763,0.6770091,0.31902293,0.43783077,0.75905142,0.55465975,0.40398688,0.88250319,0.49097219,0.81592534,0.59802046,0.20580563,0.10448264,0.12636008,0.60778273,0.46532572,0.34415684,0.78259862,0.98501268,0.20011708,0.35718941,0.15729975,0.48584243,0.5322401,0.43783077,0.23700931,0.63988198,0.62564569,0.12519611,0.5346627,0.17044896,0.079277869,0.20580563,0.10448264,0.77862075,0.40692311,0.086522118,0.3981409,0.35049161,0.17612809,0.25410711,0.73650568,0.31359753,0.24737121,0.40037976,0.65817355,0.45453464,0.41555054,0.40398688,0.12519611,0.29849797,0.17044896,0.65145716,0.93057071,0.89507439,0.12636008,0.60778273,0.71349424,0.6051331,0.78259862,0.98501268,0.32119971,0.35718941,0.59315763,0.92300528,0.5322401,0.43783077,0.75905142,0.82039327,0.62564569,0.88250319,0.9188673,0.81592534,0.59802046,0.20580563,0.89507439,0.77862075,0.40692311,0.50834935,0.92014997,0.35049161,0.17612809,0.72919142,0.73650568,0.81615292,0.6770091,0.40037976,0.65817355,0.78989432,0.55465975,0.40398688,0.88250319,0.49097219,0.81592534,0.70976175,0.93057071,0.10448264,0.77862075,0.60778273,0.46532572,0.3981409,0.78259862,0.98501268,0.25410711,0.73650568,0.31359753,0.48584243,0.817967,0.65817355,0.45453464,0.63988198,0.62564569,0.12519611,0.5346627,0.17044896,0.65145716,0.93057071,0.89507439,0.77862075,0.60778273,0.71349424,0.92014997,0.78259862,0.98501268,0.72919142,0.73650568,0.81615292,0.92300528,0.817967,0.65817355,0.78989432,0.82039327,0.62564569,0.88250319,0.9188673,0.81592534,0.70976175,0.93057071
-6594.6726,0.98730706,0.065911004,6,127,0,6631.8005,0.14037861,0.10211814,0.091346986,0.079173648,0.18221986,0.12013912,0.17563314,0.1089905,-2.4815443,-1.6369746,-0.19818638,-1.7356312,-0.44464243,-1.1710245,-2.044226,-1.0485152,-0.45523801,-1.8552752,-1.2245108,-0.8677804,-0.20935998,-0.76116298,-0.23682978,-0.26373608,-2.0343766,-0.8225467,-1.1824788,-2.0055923,-0.97718932,4.7836369,2.8193549,0.49414107,1.5348553,1.145197,1.4366038,0.32892207,2.3095572,4.0276745,0.42363915,0.57577389,1.6602681,1.4712152,1.2708631,1.6155302,1.028914,1.1530611,0.18840821,0.88505366,1.8142858,0.48712935,0.5751914,0.85714868,0.84973613,4.0708213,0.42366903,0.81034696,2.5256914,2.4074981,2.6000062,3.2363591,-0.16537193,0.62668972,0.93234091,0.87038804,1.3740275,0.40757016,-0.3906536,-0.42483552,1.6407529,-1.8484796,-1.9634122,-2.2816249,-2.39309,-2.5361118,-1.7025413,-2.1191049,-1.7393579,-2.2164945,0.077162164,0.16287714,0.45061494,0.14986871,0.39063533,0.23666986,0.11463711,0.25951032,0.38811611,0.13525471,0.22714361,0.29571636,0.44785035,0.31839382,0.44106775,0.43444552,0.11564058,0.30522333,0.23460679,0.11861701,0.27344984,0.9090502,0.16287714,0.45061494,0.44997398,0.72947515,0.23666986,0.11463711,0.34867328,0.38811611,0.40514804,0.59652808,0.29571636,0.44785035,0.74137411,0.58379249,0.43444552,0.88457074,0.40158202,0.79301776,0.59914545,0.27344984,0.077162164,0.16287714,0.57345331,0.35653524,0.39063533,0.75741014,0.8790483,0.25951032,0.38811611,0.13525471,0.45125612,0.57084039,0.44785035,0.31839382,0.65029107,0.64244685,0.11564058,0.4969501,0.23460679,0.11861701,0.27344984,0.077162164,0.76537551,0.45061494,0.14986871,0.47110215,0.23666986,0.11463711,0.38396761,0.76941839,0.35791799,0.22714361,0.33640144,0.66277689,0.43191711,0.44106775,0.43444552,0.11564058,0.30522333,0.23460679,0.64437725,0.90543857,0.9090502,0.16287714,0.57345331,0.68547516,0.72947515,0.75741014,0.8790483,0.34867328,0.38811611,0.40514804,0.94234861,0.57084039,0.44785035,0.74137411,0.68366684,0.64244685,0.88457074,0.88617196,0.79301776,0.59914545,0.27344984,0.9090502,0.76537551,0.45061494,0.44997398,0.87518178,0.23666986,0.11463711,0.70749291,0.76941839,0.85285752,0.59652808,0.33640144,0.66277689,0.75943758,0.58379249,0.43444552,0.88457074,0.40158202,0.79301776,0.76013729,0.90543857,0.077162164,0.76537551,0.57345331,0.35653524,0.47110215,0.75741014,0.8790483,0.38396761,0.76941839,0.35791799,0.45125612,0.70708307,0.66277689,0.43191711,0.65029107,0.64244685,0.11564058,0.4969501,0.23460679,0.64437725,0.90543857,0.9090502,0.76537551,0.57345331,0.68547516,0.87518178,0.75741014,0.8790483,0.70749291,0.76941839,0.85285752,0.94234861,0.70708307,0.66277689,0.75943758,0.68366684,0.64244685,0.88457074,0.88617196,0.79301776,0.76013729,0.90543857
-6593.3707,0.99220742,0.065911004,6,63,0,6635.995,0.15438087,0.16130026,0.085642953,0.12369305,0.098895832,0.12121495,0.09151079,0.16336129,-2.5979615,-1.9381014,-0.33516893,-1.9639951,-0.59824672,-0.93446931,-1.5313625,-1.4102697,-0.40703479,-1.5225719,-1.1593407,-0.98160765,-0.14485288,-1.1042086,-0.31062051,-0.27107571,-2.3690668,-0.81323184,-1.4115294,-2.4788775,-0.79186117,4.5287211,3.2982508,1.0007682,1.9464163,1.6924901,1.4013746,0.027586715,2.2623944,3.7079281,0.39868104,0.43223371,1.751005,1.6625654,0.53094395,1.9518108,1.03679,1.6063988,0.2364112,0.8876541,1.9655124,0.94616275,0.49574718,0.38298857,1.197871,4.1796907,0.58252011,0.76814381,2.7932093,2.5877891,2.6403522,3.0798946,-0.67448522,1.451754,1.3658907,1.0574434,0.61723443,0.46297518,0.61262505,0.29889748,1.7800361,-1.8941487,-1.8683325,-1.8244877,-2.4575683,-2.0899521,-2.3136882,-2.1101899,-2.3912984,-1.811791,0.069269729,0.12585658,0.41698348,0.12303534,0.35474492,0.28201887,0.17779442,0.19619153,0.39962333,0.1790831,0.2387871,0.27257291,0.46384997,0.24895215,0.42296329,0.43264303,0.085562126,0.30720224,0.19599293,0.077352275,0.31176918,0.87333347,0.12585658,0.41698348,0.49560541,0.69064317,0.28201887,0.17779442,0.26666907,0.39962333,0.53494131,0.68836146,0.27257291,0.46384997,0.70293297,0.54614994,0.43264303,0.85943727,0.44257655,0.79926065,0.52720101,0.31176918,0.069269729,0.12585658,0.66051706,0.43253765,0.35474492,0.79049722,0.89812527,0.19619153,0.39962333,0.1790831,0.4694006,0.65130743,0.46384997,0.24895215,0.51808412,0.71642467,0.085562126,0.4887299,0.19599293,0.077352275,0.31176918,0.069269729,0.79578398,0.41698348,0.12303534,0.36108455,0.28201887,0.17779442,0.27328167,0.79314208,0.27059064,0.2387871,0.32186887,0.6776081,0.46057057,0.42296329,0.43264303,0.085562126,0.30720224,0.19599293,0.5402812,0.90788111,0.87333347,0.12585658,0.66051706,0.73114234,0.69064317,0.79049722,0.89812527,0.26666907,0.39962333,0.53494131,0.92030472,0.65130743,0.46384997,0.70293297,0.70412373,0.71642467,0.85943727,0.91031345,0.79926065,0.52720101,0.31176918,0.87333347,0.79578398,0.41698348,0.49560541,0.90741465,0.28201887,0.17779442,0.68708701,0.79314208,0.84920519,0.68836146,0.32186887,0.6776081,0.91834661,0.54614994,0.43264303,0.85943727,0.44257655,0.79926065,0.70163906,0.90788111,0.069269729,0.79578398,0.66051706,0.43253765,0.36108455,0.79049722,0.89812527,0.27328167,0.79314208,0.27059064,0.4694006,0.78987589,0.6776081,0.46057057,0.51808412,0.71642467,0.085562126,0.4887299,0.19599293,0.5402812,0.90788111,0.87333347,0.79578398,0.66051706,0.73114234,0.90741465,0.79049722,0.89812527,0.68708701,0.79314208,0.84920519,0.92030472,0.78987589,0.6776081,0.91834661,0.70412373,0.71642467,0.85943727,0.91031345,0.79926065,0.70163906,0.90788111
