# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_88e3f0f3fa5e5647affcf41a26194a08_model
# start_datetime = 2026-03-27 20:05:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/standata-ee3e16201c3c.json
# init = 2 (Default)
# random
#   seed = 121389
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/model_88e3f0f3fa5e5647affcf41a26194a08-202603271505-4-81be3e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/model_88e3f0f3fa5e5647affcf41a26194a08-profile-202603271505-4-1412eb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_88e3f0f3fa5e5647affcf41a26194a08_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,Vc.5,Vc.6,Vc.7,Vc.8,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l16_0,l17_0,l18_0,l19_0,l20_0,l21_0,l1_11,l2_13,l3_12,l4_11,l4_12,l5_11,l5_13,l6_12,l7_12,l8_11,l8_13,l9_13,l10_11,l10_13,l11_11,l11_12,l12_12,l12_13,l13_13,l14_11,l14_13,l15_11,l15_12,l16_12,l17_11,l18_11,l18_12,l19_11,l20_11,l20_13,l21_13,l4_212,l5_213,l8_213,l10_213,l11_212,l12_223,l14_213,l15_212,l18_212,l20_213,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,log_Vc.5,log_Vc.6,log_Vc.7,log_Vc.8,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.16.1,pi.17.1,pi.18.1,pi.19.1,pi.20.1,pi.21.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.16.2,pi.17.2,pi.18.2,pi.19.2,pi.20.2,pi.21.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.16.3,pi.17.3,pi.18.3,pi.19.3,pi.20.3,pi.21.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4,pi.16.4,pi.17.4,pi.18.4,pi.19.4,pi.20.4,pi.21.4,pi.1.5,pi.2.5,pi.3.5,pi.4.5,pi.5.5,pi.6.5,pi.7.5,pi.8.5,pi.9.5,pi.10.5,pi.11.5,pi.12.5,pi.13.5,pi.14.5,pi.15.5,pi.16.5,pi.17.5,pi.18.5,pi.19.5,pi.20.5,pi.21.5,pi.1.6,pi.2.6,pi.3.6,pi.4.6,pi.5.6,pi.6.6,pi.7.6,pi.8.6,pi.9.6,pi.10.6,pi.11.6,pi.12.6,pi.13.6,pi.14.6,pi.15.6,pi.16.6,pi.17.6,pi.18.6,pi.19.6,pi.20.6,pi.21.6,pi.1.7,pi.2.7,pi.3.7,pi.4.7,pi.5.7,pi.6.7,pi.7.7,pi.8.7,pi.9.7,pi.10.7,pi.11.7,pi.12.7,pi.13.7,pi.14.7,pi.15.7,pi.16.7,pi.17.7,pi.18.7,pi.19.7,pi.20.7,pi.21.7,pi.1.8,pi.2.8,pi.3.8,pi.4.8,pi.5.8,pi.6.8,pi.7.8,pi.8.8,pi.9.8,pi.10.8,pi.11.8,pi.12.8,pi.13.8,pi.14.8,pi.15.8,pi.16.8,pi.17.8,pi.18.8,pi.19.8,pi.20.8,pi.21.8
# Adaptation terminated
# Step size = 0.0839015
# Diagonal elements of inverse mass matrix:
# 0.0219787, 0.0478567, 0.0363413, 0.0276633, 0.0252876, 0.0309461, 0.024643, 0.0684025, 0.0983626, 0.0186586, 0.0769803, 0.0289754, 0.0332823, 0.083933, 0.0410615, 0.0274564, 0.102825, 0.0538686, 0.0316255, 0.0180729, 0.0437431, 0.0260193, 0.0182653, 0.0550086, 0.0396863, 0.027938, 0.177531, 0.0332287, 0.00694537, 0.0126865, 0.0771942, 0.0494209, 0.102261, 0.0451477, 0.378338, 0.0163863, 0.0139225, 0.263378, 0.318297, 0.0195056, 0.05651, 0.139862, 0.0347473, 0.166486, 0.0480794, 0.337025, 0.0467366, 0.030944, 0.187192, 0.280626, 0.242372, 0.0566794, 0.00606249, 0.250262, 0.151076, 0.00686594, 0.0300049, 0.0268036, 0.011424, 0.0972616, 0.152659, 0.040973, 0.0462435, 0.0507518, 0.744709, 0.164718, 0.327511, 0.0428405, 0.477488
-6581.8734,0.96941535,0.083901489,6,63,0,6603.6357,0.14809232,0.13045174,0.084116028,0.12336408,0.131902,0.13398621,0.10212165,0.14596596,-2.3075268,-2.0662258,-0.057595826,-2.1163071,-0.74908463,-0.77589541,-1.3833692,-1.4560821,-0.90835342,-2.1351515,-1.0862445,-0.97554838,-0.19454341,-1.1518453,-0.39563479,-0.32728191,-1.9900036,-0.91689317,-1.6163517,-1.9651119,-1.0182013,4.2477016,3.6038961,0.55868055,1.8807823,1.609326,1.5281081,0.43628991,2.082593,3.7020916,0.56445815,0.99701202,1.9736297,1.6688688,1.297478,1.7939746,0.97010224,1.7291558,0.16903061,1.0585903,1.7613805,1.075486,0.61304772,0.79737804,1.0177484,4.1055336,0.28551132,0.91571993,3.1145573,2.3065063,2.4244508,3.3063132,-0.23915041,0.32383152,0.88198952,1.0950402,1.0812713,0.026980139,-0.45711598,-0.17403546,1.9574256,-1.6653559,-1.9099194,-2.0367519,-2.4755581,-2.0926153,-2.0256961,-2.0100184,-2.2815905,-1.9243818,0.090501507,0.11242309,0.48560502,0.10752193,0.32102079,0.31520519,0.20046844,0.1890673,0.2873369,0.10572694,0.25232612,0.27377598,0.45151696,0.2401522,0.40236158,0.41890212,0.12025648,0.28559136,0.16570863,0.12291489,0.26537792,0.87437134,0.11242309,0.48560502,0.44138949,0.68546961,0.31520519,0.20046844,0.29077482,0.2873369,0.38549647,0.66989939,0.27377598,0.45151696,0.64783478,0.55414014,0.41890212,0.89240347,0.34719727,0.8173067,0.58452922,0.26537792,0.090501507,0.11242309,0.62271421,0.37590148,0.32102079,0.78696002,0.9104158,0.1890673,0.2873369,0.10572694,0.47099702,0.67996424,0.45151696,0.2401522,0.59910642,0.6660707,0.12025648,0.49970669,0.16570863,0.12291489,0.26537792,0.090501507,0.8231258,0.48560502,0.10752193,0.42243273,0.31520519,0.20046844,0.38720646,0.74369756,0.302025,0.25232612,0.30863303,0.70350547,0.48091945,0.40236158,0.41890212,0.12025648,0.28559136,0.16570863,0.61285733,0.90788767,0.87437134,0.11242309,0.62271421,0.75669616,0.68546961,0.78696002,0.9104158,0.29077482,0.2873369,0.38549647,0.94042543,0.67996424,0.45151696,0.64783478,0.69862431,0.6660707,0.89240347,0.90393772,0.8173067,0.58452922,0.26537792,0.87437134,0.8231258,0.48560502,0.44138949,0.82334039,0.31520519,0.20046844,0.72856964,0.74369756,0.87283217,0.66989939,0.30863303,0.70350547,0.77345174,0.55414014,0.41890212,0.89240347,0.34719727,0.8173067,0.75035178,0.90788767,0.090501507,0.8231258,0.62271421,0.37590148,0.42243273,0.78696002,0.9104158,0.38720646,0.74369756,0.302025,0.47099702,0.72103839,0.70350547,0.48091945,0.59910642,0.6660707,0.12025648,0.49970669,0.16570863,0.61285733,0.90788767,0.87437134,0.8231258,0.62271421,0.75669616,0.82334039,0.78696002,0.9104158,0.72856964,0.74369756,0.87283217,0.94042543,0.72103839,0.70350547,0.77345174,0.69862431,0.6660707,0.89240347,0.90393772,0.8173067,0.75035178,0.90788767
-6594.4808,0.90326822,0.083901489,6,63,0,6616.6224,0.18221454,0.11865437,0.072172132,0.11735336,0.11305892,0.14065046,0.16189385,0.094002359,-2.2009563,-2.0372252,-0.17986746,-1.8223406,-0.93852513,-1.1329737,-1.4679982,-1.5696272,-0.77268379,-1.8308979,-0.98179995,-0.91807899,-0.24794583,-0.92921487,-0.24529128,-0.2975926,-2.2582481,-1.2257867,-1.1518389,-3.0477432,-1.088086,4.0896497,3.3654669,0.94208383,1.9934259,1.125064,1.4291852,0.64190934,2.2698414,3.5194815,0.45674843,0.69810833,1.6373969,1.9816512,1.0906568,1.5826804,0.92127831,1.4078345,0.56349102,0.77055986,1.5468244,0.20316146,0.27555148,0.7231087,0.74205256,3.9797604,0.77197848,0.78895286,2.6443617,3.614678,3.4007437,2.9688526,-0.50246391,0.71143417,1.1645213,0.20549956,0.96934404,-0.22315884,1.0021015,-0.065351858,2.1141375,-3.0946476,-1.7025705,-2.1315404,-2.6287013,-2.1425657,-2.1798462,-1.9614775,-1.8208144,-2.3644354,0.099664645,0.11534958,0.45515398,0.13915326,0.28119836,0.24361273,0.18724706,0.17226954,0.31589883,0.13813134,0.27253478,0.28534947,0.43832916,0.28308403,0.43898281,0.4261461,0.094640373,0.22691971,0.24015336,0.045315007,0.25197888,0.86860647,0.11534958,0.45515398,0.54266731,0.62026191,0.24361273,0.18724706,0.24733458,0.31589883,0.53761709,0.64585771,0.28534947,0.43832916,0.64967467,0.50756447,0.4261461,0.84832353,0.38845572,0.81645663,0.63805561,0.25197888,0.099664645,0.11534958,0.68183474,0.33241631,0.28119836,0.75710407,0.8860974,0.17226954,0.31589883,0.13813134,0.48487421,0.62004884,0.43832916,0.28308403,0.61723236,0.60932124,0.094640373,0.39249567,0.24015336,0.045315007,0.25197888,0.099664645,0.79054965,0.45515398,0.13915326,0.42638499,0.24361273,0.18724706,0.29493835,0.70364442,0.32295142,0.27253478,0.41227029,0.62775881,0.32606138,0.43898281,0.4261461,0.094640373,0.22691971,0.24015336,0.587345,0.86769916,0.86860647,0.11534958,0.68183474,0.6886221,0.62026191,0.75710407,0.8860974,0.24733458,0.31589883,0.53761709,0.92354398,0.62004884,0.43832916,0.64967467,0.66552566,0.60932124,0.84832353,0.92050894,0.81645663,0.63805561,0.25197888,0.86860647,0.79054965,0.45515398,0.54266731,0.86342151,0.24361273,0.18724706,0.6791244,0.70364442,0.80952236,0.64585771,0.41227029,0.62775881,0.86091044,0.50756447,0.4261461,0.84832353,0.38845572,0.81645663,0.70537598,0.86769916,0.099664645,0.79054965,0.68183474,0.33241631,0.42638499,0.75710407,0.8860974,0.29493835,0.70364442,0.32295142,0.48487421,0.69637348,0.62775881,0.32606138,0.61723236,0.60932124,0.094640373,0.39249567,0.24015336,0.587345,0.86769916,0.86860647,0.79054965,0.68183474,0.6886221,0.86342151,0.75710407,0.8860974,0.6791244,0.70364442,0.80952236,0.92354398,0.69637348,0.62775881,0.86091044,0.66552566,0.60932124,0.84832353,0.92050894,0.81645663,0.70537598,0.86769916
-6590.8606,0.98049667,0.083901489,6,63,0,6627.5822,0.14108756,0.11112377,0.10231638,0.11580859,0.13556731,0.13778254,0.15559706,0.10071679,-2.0933374,-2.464677,-0.4425694,-2.0023989,-0.83874401,-1.0518925,-1.856315,-1.3181356,-0.67766174,-1.7534789,-0.79577249,-0.86420926,-0.056261865,-0.57752568,-0.22912247,-0.37016129,-1.7182703,-0.77033999,-1.1702542,-2.8727359,-0.76936125,4.2573817,3.5169313,0.92940813,1.9856437,1.873269,1.7201069,0.41012339,2.4527319,3.6860881,0.86895407,0.30165875,1.7284362,1.7110215,0.99506618,1.7417655,0.54102358,1.3504416,0.32083525,1.0462064,1.4661741,0.23499761,0.22129572,0.98181641,1.0788262,4.2964634,0.61521067,1.0900494,2.3841875,2.882697,3.4348884,2.5651197,-0.81368858,0.67056186,1.0116892,0.89888304,0.9222944,0.087326601,0.92415728,0.045435173,1.8867131,-2.6847113,-1.9583746,-2.1971107,-2.2796855,-2.1558166,-1.998287,-1.9820786,-1.8604856,-2.2954427,0.10974608,0.078371855,0.3911289,0.11895128,0.30179938,0.25886185,0.13513314,0.21112864,0.33678338,0.14760894,0.31093055,0.29646066,0.48593824,0.35950213,0.44296866,0.40850205,0.1520941,0.31640556,0.23680904,0.053517901,0.3166173,0.89697389,0.078371855,0.3911289,0.49581131,0.70710456,0.25886185,0.13513314,0.38955538,0.33678338,0.48938724,0.72030862,0.29646066,0.48593824,0.70861118,0.49804332,0.40850205,0.92944487,0.46129526,0.77099417,0.50249027,0.3166173,0.10974608,0.078371855,0.61936143,0.46776232,0.30179938,0.80231706,0.86173469,0.21112864,0.33678338,0.14760894,0.43665498,0.61921847,0.48593824,0.35950213,0.67976541,0.67010609,0.1520941,0.57925344,0.23680904,0.053517901,0.3166173,0.10974608,0.74120756,0.3911289,0.11895128,0.39445576,0.25886185,0.13513314,0.26571423,0.74092358,0.31899098,0.31093055,0.36740305,0.72907696,0.41519551,0.44296866,0.40850205,0.1520941,0.31640556,0.23680904,0.63695046,0.85763183,0.89697389,0.078371855,0.61936143,0.73939478,0.70710456,0.80231706,0.86173469,0.38955538,0.33678338,0.48938724,0.91753456,0.61921847,0.48593824,0.70861118,0.73486055,0.67010609,0.92944487,0.94383371,0.77099417,0.50249027,0.3166173,0.89697389,0.74120756,0.3911289,0.49581131,0.87675443,0.25886185,0.13513314,0.7035304,0.74092358,0.86430216,0.72030862,0.36740305,0.72907696,0.88572547,0.49804332,0.40850205,0.92944487,0.46129526,0.77099417,0.68138376,0.85763183,0.10974608,0.74120756,0.61936143,0.46776232,0.39445576,0.80231706,0.86173469,0.26571423,0.74092358,0.31899098,0.43665498,0.70979615,0.72907696,0.41519551,0.67976541,0.67010609,0.1520941,0.57925344,0.23680904,0.63695046,0.85763183,0.89697389,0.74120756,0.61936143,0.73939478,0.87675443,0.80231706,0.86173469,0.7035304,0.74092358,0.86430216,0.91753456,0.70979615,0.72907696,0.88572547,0.73486055,0.67010609,0.92944487,0.94383371,0.77099417,0.68138376,0.85763183
-6598.1801,0.94877055,0.083901489,6,63,0,6630.4411,0.15661081,0.11369786,0.085354088,0.13952036,0.15999967,0.11365696,0.11674821,0.11441204,-2.2682049,-2.5260351,-0.23860016,-2.2148442,-1.0289453,-1.4515304,-1.993598,-1.4425103,-0.78566685,-2.0108828,-1.0714932,-1.1719668,-0.12352872,-1.1608141,-0.22035189,-0.68879036,-2.4122112,-0.92994847,-1.3913833,-2.4940666,-0.73905876,4.1269779,4.128303,0.98472809,2.1276724,1.8195708,1.568018,0.67253788,2.7273071,3.9969183,0.49824194,0.86059089,1.6891736,2.1821546,1.359003,1.3551764,0.47826623,1.891338,0.43066763,0.80400262,2.244301,0.90569228,0.16829865,0.78975582,1.0211441,4.0045762,0.5073568,0.51741821,2.7705141,2.5459364,2.8849365,2.4685977,-0.97775419,0.7093204,1.1370599,-0.20619925,1.0942924,-0.34987825,-0.12659704,0.16223085,1.9220155,-2.251343,-1.8539915,-2.1742107,-2.4609469,-1.9695447,-1.8325835,-2.1745705,-2.1477357,-2.1679489,0.09379067,0.07405306,0.44063135,0.098425376,0.26328863,0.18976615,0.11987673,0.19115692,0.31309984,0.11806502,0.25511922,0.23649966,0.46915703,0.23851939,0.44513385,0.33430222,0.082246257,0.28293517,0.19918702,0.076275183,0.32321,0.86515386,0.07405306,0.44063135,0.47822086,0.63159668,0.18976615,0.11987673,0.28003896,0.31309984,0.54271358,0.57044897,0.23649966,0.46915703,0.74715328,0.48698963,0.33430222,0.83094857,0.39589675,0.79885137,0.51296455,0.32321,0.09379067,0.07405306,0.67833441,0.40244849,0.26328863,0.78173002,0.88114525,0.19115692,0.31309984,0.11806502,0.35589478,0.67246855,0.46915703,0.23851939,0.63862563,0.58233198,0.082246257,0.39830557,0.19918702,0.076275183,0.32321,0.09379067,0.83233512,0.44063135,0.098425376,0.4118295,0.18976615,0.11987673,0.35849106,0.71166961,0.34256605,0.25511922,0.32272012,0.66384446,0.43656324,0.44513385,0.33430222,0.082246257,0.28293517,0.19918702,0.59649208,0.84935343,0.86515386,0.07405306,0.67833441,0.68018995,0.63159668,0.78173002,0.88114525,0.28003896,0.31309984,0.54271358,0.86485829,0.67246855,0.46915703,0.74715328,0.71093582,0.58233198,0.83094857,0.88255408,0.79885137,0.51296455,0.32321,0.86515386,0.83233512,0.44063135,0.47822086,0.87224221,0.18976615,0.11987673,0.74142388,0.71166961,0.78985897,0.57044897,0.32272012,0.66384446,0.86559763,0.48698963,0.33430222,0.83094857,0.39589675,0.79885137,0.66495696,0.84935343,0.09379067,0.83233512,0.67833441,0.40244849,0.4118295,0.78173002,0.88114525,0.35849106,0.71166961,0.34256605,0.35589478,0.69000884,0.66384446,0.43656324,0.63862563,0.58233198,0.082246257,0.39830557,0.19918702,0.59649208,0.84935343,0.86515386,0.83233512,0.67833441,0.68018995,0.87224221,0.78173002,0.88114525,0.74142388,0.71166961,0.78985897,0.86485829,0.69000884,0.66384446,0.86559763,0.71093582,0.58233198,0.83094857,0.88255408,0.79885137,0.66495696,0.84935343
-6590.5621,0.98155246,0.083901489,6,63,0,6626.0723,0.17488551,0.13430481,0.068085494,0.09047879,0.11075668,0.12262922,0.14678265,0.15207685,-2.151509,-1.5301522,-0.34326441,-1.6246886,-0.54959473,-0.96384075,-1.7545968,-1.1589931,-0.7778201,-2.0457236,-1.5626537,-0.99494814,-0.38610329,-0.92012847,-0.3017787,-0.34342141,-2.2872128,-1.0477129,-1.3171127,-2.0443558,-1.434031,4.2521742,2.546079,0.80620449,1.3993028,1.1010718,1.2663383,0.18743077,1.7833142,3.1624155,0.41041109,0.57198121,1.9043378,1.6216358,1.2607971,2.0980315,1.1065479,0.91138849,0.34132315,1.2825509,1.8478004,0.64929478,0.64698979,0.55372908,0.88940688,3.8405499,1.0279323,1.3609017,2.5624205,2.078652,2.202088,3.6188727,0.048405796,0.49959183,0.78731114,1.0407366,1.5805085,0.42973929,-0.025548417,0.027159816,0.51421377,-1.4769225,-1.7436237,-2.0076434,-2.6869911,-2.4026398,-2.2004196,-2.09859,-1.9188024,-1.8833693,0.10419029,0.17797141,0.41501673,0.16455928,0.36595844,0.27610987,0.14746834,0.2388503,0.31478989,0.11448521,0.17326618,0.26993584,0.40465571,0.28493172,0.42512272,0.41497862,0.09218754,0.25966453,0.21129907,0.11462394,0.19247139,0.89096782,0.17797141,0.41501673,0.44389089,0.67188952,0.27610987,0.14746834,0.32113036,0.31478989,0.395539,0.63073652,0.26993584,0.40465571,0.71660273,0.5854558,0.41497862,0.82539518,0.49505501,0.77648656,0.50857321,0.19247139,0.10419029,0.17797141,0.61371141,0.3720069,0.36595844,0.69412457,0.80342165,0.2388503,0.31478989,0.11448521,0.38791004,0.47912223,0.40465571,0.28493172,0.5626565,0.63320369,0.09218754,0.57766342,0.21129907,0.11462394,0.19247139,0.10419029,0.73417842,0.41501673,0.16455928,0.41043583,0.27610987,0.14746834,0.35732076,0.75519568,0.3132591,0.17326618,0.34217312,0.71021893,0.43270244,0.42512272,0.41497862,0.09218754,0.25966453,0.21129907,0.5393515,0.89888001,0.89096782,0.17797141,0.61371141,0.71587511,0.67188952,0.69412457,0.80342165,0.32113036,0.31478989,0.395539,0.96166984,0.47912223,0.40465571,0.71660273,0.71628339,0.63320369,0.82539518,0.86475226,0.77648656,0.50857321,0.19247139,0.89096782,0.73417842,0.41501673,0.44389089,0.80278084,0.27610987,0.14746834,0.64810283,0.75519568,0.86731749,0.63073652,0.34217312,0.71021893,0.82511848,0.5854558,0.41497862,0.82539518,0.49505501,0.77648656,0.68123685,0.89888001,0.10419029,0.73417842,0.61371141,0.3720069,0.41043583,0.69412457,0.80342165,0.35732076,0.75519568,0.3132591,0.38791004,0.66541118,0.71021893,0.43270244,0.5626565,0.63320369,0.09218754,0.57766342,0.21129907,0.5393515,0.89888001,0.89096782,0.73417842,0.61371141,0.71587511,0.80278084,0.69412457,0.80342165,0.64810283,0.75519568,0.86731749,0.96166984,0.66541118,0.71021893,0.82511848,0.71628339,0.63320369,0.82539518,0.86475226,0.77648656,0.68123685,0.89888001
-6596.8656,0.99537699,0.083901489,6,63,0,6631.8734,0.16235377,0.11381072,0.068470619,0.11752359,0.14967388,0.11947876,0.1518307,0.11685797,-2.4479938,-2.9883271,-0.25304559,-1.4773014,-0.81291995,-1.0327061,-1.828732,-1.5839804,-0.82822791,-2.2062921,-0.74998351,-1.1683186,-0.029158659,-1.075528,-0.054511693,-0.55964068,-1.9924845,-0.88921953,-1.4655625,-3.4388776,-0.96497316,4.3846863,4.2702484,0.73618069,1.8020299,0.62507612,1.1631279,0.20200604,2.5168826,3.8697785,0.93434917,0.7729092,1.5810168,2.2241045,1.3876919,1.6698869,0.50328614,2.1213602,0.31583184,0.7862098,1.9778134,0.80501491,0.18494014,0.61333974,1.1645806,4.3211456,0.59662885,0.36855991,2.9733484,3.4963762,3.763636,2.4630637,0.13132212,0.82864717,0.60921035,-0.12083545,0.90249699,-0.25615845,0.06000295,0.50366971,2.3582475,-3.2097853,-1.8179776,-2.1732186,-2.6813506,-2.1411162,-1.8992965,-2.1246167,-1.8849892,-2.146796,0.079585384,0.04795601,0.43707402,0.18583537,0.30726862,0.2625598,0.13838939,0.1702325,0.3040199,0.099186875,0.32082489,0.23715904,0.49271085,0.25435324,0.48637545,0.3636306,0.11999426,0.29127092,0.18761803,0.031102289,0.27588359,0.87398834,0.04795601,0.43707402,0.58047619,0.586668,0.2625598,0.13838939,0.34307264,0.3040199,0.50445299,0.71502243,0.23715904,0.49271085,0.71141893,0.53256096,0.3636306,0.91122308,0.42736974,0.81873284,0.51437067,0.27588359,0.079585384,0.04795601,0.61848791,0.29896626,0.30726862,0.81520258,0.88503979,0.1702325,0.3040199,0.099186875,0.43863655,0.72172646,0.49271085,0.25435324,0.63618133,0.64678568,0.11999426,0.37269801,0.18761803,0.031102289,0.27588359,0.079585384,0.78277665,0.43707402,0.18583537,0.35185075,0.2625598,0.13838939,0.30766227,0.67978609,0.30606087,0.32082489,0.29891147,0.68071316,0.43278114,0.48637545,0.3636306,0.11999426,0.29127092,0.18761803,0.58048347,0.81728952,0.87398834,0.04795601,0.61848791,0.74670715,0.586668,0.81520258,0.88503979,0.34307264,0.3040199,0.50445299,0.91098216,0.72172646,0.49271085,0.71141893,0.77685603,0.64678568,0.91122308,0.91939956,0.81873284,0.51437067,0.27588359,0.87398834,0.78277665,0.43707402,0.58047619,0.79912926,0.2625598,0.13838939,0.67535108,0.67978609,0.78324347,0.71502243,0.29891147,0.68071316,0.85412199,0.53256096,0.3636306,0.91122308,0.42736974,0.81873284,0.64824851,0.81728952,0.079585384,0.78277665,0.61848791,0.29896626,0.35185075,0.81520258,0.88503979,0.30766227,0.67978609,0.30606087,0.43863655,0.73355115,0.68071316,0.43278114,0.63618133,0.64678568,0.11999426,0.37269801,0.18761803,0.58048347,0.81728952,0.87398834,0.78277665,0.61848791,0.74670715,0.79912926,0.81520258,0.88503979,0.67535108,0.67978609,0.78324347,0.91098216,0.73355115,0.68071316,0.85412199,0.77685603,0.64678568,0.91122308,0.91939956,0.81873284,0.64824851,0.81728952
